1,1.201679054628248,1.1720092296600342,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 0, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1640874668377306,1.1815578937530518,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1370189985525543,1.1592092514038086,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1013044854322886,1.25685453414917,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.120542550305776,1.165370225906372,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1741369370314958,1.1606557369232178,4,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1235104674712095,1.1795778274536133,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1784502561546106,1.2463579177856445,6,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1446219083339193,1.1471312046051025,7,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0875026274585124,1.155555248260498,8,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.142076955872369,1.1558811664581299,9,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0804671260889374,1.1501212120056152,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.168052007133568,1.168367624282837,11,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1055380126561698,1.1827707290649414,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1175396169851668,1.1886341571807861,13,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1074484664533433,1.1871869564056396,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.121722684863759,1.2582793235778809,15,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.163854854750381,1.1461949348449707,16,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.125612155360094,1.240218162536621,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0916860318703718,1.1901965141296387,18,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0304942615885109,1.1610908508300781,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 1, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0904981093273884,1.1805167198181152,0,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0822116087273324,1.1643526554107666,1,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0451152184007382,1.171694040298462,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0622368988390947,1.188317060470581,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1009786210794401,1.183758020401001,4,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0609806810924591,1.159088134765625,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.131726780473307,1.1538331508636475,6,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0650678739333244,1.1577887535095215,7,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0718955536646142,1.1695637702941895,8,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
